Date,Price,Volume
2018-12-28,3923.92,5631554348.36
2018-12-29,3820.41,4991655917.48
2018-12-30,3865.95,4770578574.97
2018-12-31,3742.70,4661840806.32
2019-01-01,3843.52,4324200990.19
2019-01-02,3943.41,5244856835.71
2019-01-03,3836.74,4530215218.84
2019-01-04,3857.72,4847965467.09
2019-01-05,3845.19,5137609823.76
2019-01-06,4076.63,5597027439.60
2019-01-07,4025.25,5228625637.09
2019-01-08,4030.85,5306593305.07
2019-01-09,4035.30,5115905224.63
2019-01-10,3678.92,6874143795.72
2019-01-11,3687.37,5538712864.66
2019-01-12,3661.30,4778170882.56
2019-01-13,3552.95,4681302465.82
2019-01-14,3706.05,5651384489.83
2019-01-15,3630.68,5537192301.96
2019-01-16,3655.01,5394457144.65
2019-01-17,3678.56,5464420383.38
2019-01-18,3657.84,5002961726.83
2019-01-19,3728.57,5955691379.94
2019-01-20,3601.01,5582489559.53
2019-01-21,3576.03,5004347059.45
2019-01-22,3604.58,5313623556.01
2019-01-23,3585.12,5433755648.65
2019-01-24,3600.87,5262869046.44
2019-01-25,3599.77,5265847538.53
2019-01-26,3602.46,5098183234.66
2019-01-27,3583.97,5570752966.31
2019-01-28,3470.45,6908930483.47
2019-01-29,3448.12,5897159492.97
2019-01-30,3486.18,5955112626.76
2019-01-31,3457.79,5831198270.87
2019-02-01,3487.95,5422926707.35
2019-02-02,3521.06,5071623600.97
2019-02-03,3464.01,5043937583.95
2019-02-04,3459.15,5332718886.31
2019-02-05,3466.36,5227549544.89
2019-02-06,3413.77,5482196037.61
2019-02-07,3399.47,5004962682.81
2019-02-08,3666.78,7735623101.05
2019-02-09,3671.20,6158833644.65
2019-02-10,3690.19,6282256902.92
2019-02-11,3648.43,6277056433.57
2019-02-12,3653.53,6480384531.73
2019-02-13,3632.07,6438903822.53
2019-02-14,3616.88,6271044417.92
2019-02-15,3620.81,6091952230.59
2019-02-16,3629.79,5934744051.70
2019-02-17,3673.84,7039512502.62
2019-02-18,3915.71,9908216640.36
2019-02-19,3947.09,9933626654.82
2019-02-20,3999.82,8693373948.01
2019-02-21,3954.12,7775128102.44
2019-02-22,4005.53,7826525254.38
2019-02-23,4142.53,8922258315.77
2019-02-24,3810.43,10794227451.22
2019-02-25,3882.70,9318796066.67
2019-02-26,3854.36,7931218996.38
2019-02-27,3851.05,8301309684.14
2019-02-28,3854.79,8399767798.46
2019-03-01,3859.58,7661247975.11
2019-03-02,3864.42,7578786075.61
2019-03-03,3847.18,7253558152.32
2019-03-04,3761.56,9029175787.94
2019-03-05,3896.38,10174126414.53
2019-03-06,3903.94,9175291528.52
2019-03-07,3911.48,9584165518.68
2019-03-08,3901.13,10638638944.00
2019-03-09,3963.31,10796103518.22
2019-03-10,3951.60,9713267606.58
